2026-06-24 04:51:26 install ruby-nokogiri:amd64 <none> 1.19.1+dfsg-1
2026-06-24 04:51:26 status half-installed ruby-nokogiri:amd64 1.19.1+dfsg-1
2026-06-24 04:51:27 status unpacked ruby-nokogiri:amd64 1.19.1+dfsg-1
2026-06-24 04:51:27 install ruby-opt-parse-validator:all <none> 1.10.1-0kali1
2026-06-24 04:51:27 status half-installed ruby-opt-parse-validator:all 1.10.1-0kali1
2026-06-24 04:51:27 status unpacked ruby-opt-parse-validator:all 1.10.1-0kali1
2026-06-24 04:51:27 install ruby-progressbar:all <none> 1.13.0-2
2026-06-24 04:51:27 status half-installed ruby-progressbar:all 1.13.0-2
2026-06-24 04:51:28 status unpacked ruby-progressbar:all 1.13.0-2
2026-06-24 04:51:28 install ruby-mime-types-data:all <none> 3.2026.0414-1
2026-06-24 04:51:28 status half-installed ruby-mime-types-data:all 3.2026.0414-1
2026-06-24 04:51:29 status unpacked ruby-mime-types-data:all 3.2026.0414-1
2026-06-24 04:51:29 install ruby-mime-types:all <none> 3.7.0-1
2026-06-24 04:51:29 status half-installed ruby-mime-types:all 3.7.0-1
2026-06-24 04:51:29 status unpacked ruby-mime-types:all 3.7.0-1
2026-06-24 04:51:30 install ruby-ethon:all <none> 0.18.0-2
2026-06-24 04:51:30 status half-installed ruby-ethon:all 0.18.0-2
2026-06-24 04:51:30 status unpacked ruby-ethon:all 0.18.0-2
2026-06-24 04:51:30 install ruby-typhoeus:all <none> 1.6.0-1
2026-06-24 04:51:30 status half-installed ruby-typhoeus:all 1.6.0-1
2026-06-24 04:51:30 status unpacked ruby-typhoeus:all 1.6.0-1
2026-06-24 04:51:30 install ruby-yajl:amd64 <none> 1.4.3-1+b5
2026-06-24 04:51:30 status half-installed ruby-yajl:amd64 1.4.3-1+b5
2026-06-24 04:51:30 status unpacked ruby-yajl:amd64 1.4.3-1+b5
2026-06-24 04:51:31 install ruby-cms-scanner:all <none> 0.15.0-0kali3
2026-06-24 04:51:31 status half-installed ruby-cms-scanner:all 0.15.0-0kali3
2026-06-24 04:51:31 status unpacked ruby-cms-scanner:all 0.15.0-0kali3
2026-06-24 04:51:31 install wpscan:all <none> 3.8.28-0kali1
2026-06-24 04:51:31 status half-installed wpscan:all 3.8.28-0kali1
2026-06-24 04:51:31 status unpacked wpscan:all 3.8.28-0kali1
2026-06-24 04:51:32 startup packages configure
2026-06-24 04:51:32 configure ruby-mini-portile2:all 2.8.9-1 <none>
2026-06-24 04:51:32 status unpacked ruby-mini-portile2:all 2.8.9-1
2026-06-24 04:51:32 status half-configured ruby-mini-portile2:all 2.8.9-1
2026-06-24 04:51:32 status installed ruby-mini-portile2:all 2.8.9-1
2026-06-24 04:51:32 configure ruby-concurrent:all 1.3.6-1 <none>
2026-06-24 04:51:32 status unpacked ruby-concurrent:all 1.3.6-1
2026-06-24 04:51:32 status half-configured ruby-concurrent:all 1.3.6-1
2026-06-24 04:51:32 status installed ruby-concurrent:all 1.3.6-1
2026-06-24 04:51:32 configure ruby-minitest:all 6.0.1+really5.27.0-2 <none>
2026-06-24 04:51:32 status unpacked ruby-minitest:all 6.0.1+really5.27.0-2
2026-06-24 04:51:32 status half-configured ruby-minitest:all 6.0.1+really5.27.0-2
2026-06-24 04:51:32 status installed ruby-minitest:all 6.0.1+really5.27.0-2
2026-06-24 04:51:32 configure racc:all 1.8.1-2 <none>
2026-06-24 04:51:32 status unpacked racc:all 1.8.1-2
2026-06-24 04:51:32 status half-configured racc:all 1.8.1-2
2026-06-24 04:51:32 status installed racc:all 1.8.1-2
